name;zone;lines;is_railstation;latitude;longitude;linked_station;linked_lines
Royal Albert;3.0;DLR;FALSE;51.5084;0.0465;;
Rickmansworth;7.0;Metropolitan;FALSE;51.6404;-0.4733;;
Roding Valley;4.0;Central;FALSE;51.6171;0.0439;;
Regent's Park;1.0;Bakerloo;FALSE;51.5234;-0.1466;;
Richmond;4.0;District,Overground;TRUE;51.4633;-0.3013;;
Rayners Lane;5.0;Metropolitan,Piccadilly;FALSE;51.5753;-0.3714;;
Redbridge;4.0;Central;FALSE;51.5763;0.0454;;
Mill Hill East;4.0;Northern;FALSE;51.6082;-0.2103;;
Tufnell Park;2.0;Northern;FALSE;51.5567;-0.1374;;
Turnham Green;2.5;District,Piccadilly;FALSE;51.4951;-0.2547;;
Royal Oak;2.0;Circle,Hammersmith & City;FALSE;51.519;-0.188;;
Royal Victoria;3.0;DLR,Emirates Air Line;FALSE;51.5091;0.0181;;
Hyde Park Corner;1.0;Piccadilly;FALSE;51.5027;-0.1527;;
Hounslow West;5.0;Piccadilly;FALSE;51.4734;-0.3855;;
Hounslow East;4.0;Piccadilly;FALSE;51.4733;-0.3564;;
Hounslow Central;4.0;Piccadilly;FALSE;51.4713;-0.3665;;
Kensal Green;2.0;Bakerloo,Overground;FALSE;51.5304;-0.225;;
Kennington;2.0;Northern;FALSE;51.4884;-0.1053;;
Island Gardens;2.0;DLR;FALSE;51.4871;-0.0101;;
Ickenham;6.0;Metropolitan,Piccadilly;FALSE;51.5619;-0.4421;;
Kentish Town;2.0;Northern;TRUE;51.5507;-0.1402;;
Kensington (Olympia);2.0;District,Overground;TRUE;51.4983;-0.2106;;
Monument;1.0;Circle,District;FALSE;51.5108;-0.0863;Bank;Central,Northern,Waterloo & City,DLR
Bethnal Green;2.0;Central;FALSE;51.527;-0.0549;;
Blackfriars;1.0;Circle,District;TRUE;51.512;-0.1031;;
Blackhorse Road;3.0;Victoria,Overground;FALSE;51.5867;-0.0417;;
Blackwall;2.0;DLR;FALSE;51.5079;-0.0066;;
Beckton Park;3.0;DLR;FALSE;51.5087;0.055;;
Becontree;5.0;District;FALSE;51.5403;0.127;;
Belsize Park;2.0;Northern;FALSE;51.5504;-0.1642;;
Bermondsey;2.0;Jubilee;FALSE;51.4979;-0.0637;;
Manor House;2.5;Piccadilly;FALSE;51.5712;-0.0958;;
Bond Street;1.0;Central,Jubilee;FALSE;51.5142;-0.1494;;
Borough;1.0;Northern;FALSE;51.5011;-0.0943;;
Mansion House;1.0;Circle,District;FALSE;51.5122;-0.094;;
West Ham;3.0;District,Hammersmith & City,Jubilee,DLR;TRUE;51.5287;0.0056;;
West Finchley;4.0;Northern;FALSE;51.6095;-0.1883;;
All Saints;2.0;DLR;FALSE;51.5107;-0.013;;
Wembley Central;4.0;Bakerloo,Overground;TRUE;51.5519;-0.2963;;
Archway;2.5;Northern;FALSE;51.5653;-0.1353;;
Westbourne Park;2.0;Circle,Hammersmith & City;FALSE;51.521;-0.2011;;
Marylebone;1.0;Bakerloo;TRUE;51.5225;-0.1631;;
Westminster;1.0;Circle,District,Jubilee;FALSE;51.501;-0.1254;;
Westferry;2.0;DLR;FALSE;51.5097;-0.0265;;
West Brompton;2.0;District,Overground;TRUE;51.4872;-0.1953;;
West Acton;3.0;Central;FALSE;51.518;-0.2809;;
Shepherd's Bush Market;2.0;Circle,Hammersmith & City;FALSE;51.5058;-0.2265;;
Uxbridge;6.0;Metropolitan,Piccadilly;FALSE;51.5463;-0.4786;;
Ruislip Gardens;5.0;Central;FALSE;51.5606;-0.4103;;
Heron Quays;2.0;DLR;FALSE;51.5033;-0.0215;;
Tower Gateway;1.0;DLR;FALSE;51.5106;-0.0743;Tower Hill;Circle,District
High Street Kensington;1.0;Circle,District;FALSE;51.5009;-0.1925;;
Highbury & Islington;2.0;Victoria,Overground;TRUE;51.546;-0.104;;
Highgate;3.0;Northern;FALSE;51.5777;-0.1458;;
Hillingdon;6.0;Metropolitan,Piccadilly;FALSE;51.5538;-0.4499;;
Holborn;1.0;Central,Piccadilly;FALSE;51.5174;-0.12;;
Holland Park;2.0;Central;FALSE;51.5075;-0.206;;
Holloway Road;2.0;Piccadilly;FALSE;51.5526;-0.1132;;
Hornchurch;6.0;District;FALSE;51.5539;0.2184;;
Upney;4.0;District;FALSE;51.5385;0.1014;;
Upminster Bridge;6.0;District;FALSE;51.5582;0.2343;;
